Participant,Count,Tomo_1,Tomo_2,Tomo_3,Tomo_4,Tomo_5,Tomo_6,Tomo_7,Tomo_8,Tomo_9,Tomo_10,Tomo_11,Tomo_12
p1,11,33401,33338,33330,33295,33512,33374,33403,33538,33026,33283,33015,
p2,11,33369,33402,33028,32942,33016,33574,33031,33492,33210,33361,33202,
p3,11,33458,33350,33366,33351,33475,33431,33190,33507,32941,33411,32913,
p4,11,33317,33442,33009,33333,33352,33030,33033,33049,33410,33558,33017,
p5,10,33426,33189,33143,33371,33083,33209,33399,33050,33134,33416,,
p6,11,33503,33355,32988,33021,33354,33106,33478,33254,33353,32990,33456,
p7,11,33025,33332,33010,33414,33406,33331,33020,33088,32921,33280,33436,
p8,11,33460,33451,33224,33530,33203,33412,33568,32964,33027,33034,33029,
p9,12,33022,33494,33444,33457,33459,32931,33234,33491,33261,33284,33498,32948
p10,12,33171,33504,33576,33360,33044,33425,33293,33042,33013,33253,32960,33400
pn1,6,33377,33378,33379,33380,33381,33382,,,,,,
pn2,6,33383,33384,33385,33386,33387,33388,,,,,,
pn3,6,33389,33390,33391,33392,33393,33394,,,,,,
pn4,6,33395,33396,33397,33398,33404,33405,,,,,,
pn5,6,33407,33408,33409,33413,33415,33417,,,,,,
pn6,6,33418,33419,33420,33421,33422,33423,,,,,,
pn7,6,33424,33427,33428,33429,33430,33432,,,,,,
pn8,6,33433,33434,33435,33437,33438,33439,,,,,,
